Item,Name,Quantity,Part number
1,Wave Generator,1,
2,Square thin nut grade B M3x0.5,1,
3,Separator (Output Shaft),1,
4,Sensor Magnet,1,
5,Nylon Spacers 3.2mm ID 7mm OD 5mm H,9,
6,M5 Heat Set Insert,5,
7,M3 Heat Set Insert,8,
8,Hex socket head cap screw M3x0.50 x 6,2,
9,Hex socket head cap screw M3x0.50 x 45 x 18,3,
10,Hex socket head cap screw M3x0.50 x 22 x 18,5,
11,Hex nut grade A & B M3x0.5,2,
12,Gearbox Lid,1,
13,Gearbox Base,1,
14,Eccentric Cam (Input shaft),1,
15,Cup point hex socket set screw M3x0.5 x 6,1,
16,Body (Inner Cycloid Ring Gear),1,
17,AS5600 Sensor,1,
18,Actuator_Housing_Shroud,1,
19,Actuator_Housing_Sensor_Mount,1,
20,Actuator_Housing_Sensor_Cap,1,
21,6808-2RS Bearing,1,
22,6704ZZ Bearing,1,
23,17HS19-2004S1 Stepper Motor,1,
